"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,4.5039,0,1.4009
0,0,0,4.4036,0,2.2314
0,0,0,4.712,0,1.8678
0,0,0,3.1117,0,2.1297
0,0,0,3.7435,0,2.4915
0,0,0,4.6108,0,2.497
0,0,0,4.1232,0,2.515
0,0,0,3.9645,0,1.0387
0,0,0,3.1062,0,0.65272
0,0,0,3.0419,0,0.16253
0,0,0,3.13,0,1.2582
0,0,0,3.6325,0,0.81226
0,0,0,3.349,0,0.35383
0,0,0,3.3107,0,0.50119
0,0,0,3.7975,0,1.2898
0,0,0,3.7846,0,0.30055
0,0,0,3.5967,0,0.18421
0,0,0,3.2121,0,0.39062
0,0,0,3.1968,0,2.4751
0,0,0,3.5745,0,2.2467
0,0,0,3.5884,0,2.643
0,0,0,3.637,0,1.9749
0,0,0,3.9531,0,1.7674
0,0,0,2.9678,0,2.0346
0,0,0,3.2897,0,2.3202
0,0,0,3.8016,0,1.511
0,0,0,3.3673,0,1.45
0,0,0,3.0132,0,2.206
0,0,0,2.9731,0,1.0418
0,0,0,3.0007,0,0.91119
0,0,0,3.6831,0,1.541
0,0,0,2.9742,0,1.6755
0,0,0,3.2064,0,1.2198
0,0,0,3.512,0,0.69302
0,0,0,4.1565,0,0.49393
0,0,0,2.9748,0,1.4095
0,0,0,2.9701,0,0.56931
0,0,0,3.1233,0,0.87367
0,0,0,2.9752,0,1.7743
0,0,0,3.4492,0,1.1825
0,0,0,2.957,0,1.6312
0,0,0,3.0745,0,1.2163
0,0,0,3.1939,0,1.3309
0,0,0,3.0263,0,1.7098
0,0,0,2.9628,0,1.162
0,0,0,3.0477,0,1.1485
0,0,0,3.3691,0,0.73481
0,0,0,3.3681,0,2.4494
0,0,0,2.9736,0,1.1031
0,0,0,3.4471,0,1.3894
0,0,0,4.4397,0,1.8172
0,0,0,4.5516,0,1.6476
0,0,0,3.7877,0,2.6671
0,0,0,2.9739,0,1.4768
0,0,0,3.1093,0,0.77878
